ABSA GROUP,"336,720",0,0,"336,720",ZAR,"3,218,460.96",0.08
AFRICAN RAINBOW MINERALS,"44,658","61,258","37,412","68,504",ZAR,"992,449.57",0.03
ANGLO AMERICAN PLATINUM,"23,470","6,352","2,899","26,923",ZAR,"3,064,718.02",0.08
ANGLOGOLD ASHANTI REG.,"206,588","17,368","15,220","208,736",ZAR,"4,298,967.69",0.11
ASPEN PHARMACARE HOLDINGS,"195,853","83,070","89,895","189,028",ZAR,"2,658,235.91",0.07
BID CORPORATION,"154,205",0,0,"154,205",ZAR,"3,153,956.08",0.08
BIDVEST GROUP,"154,253","62,624","58,559","158,318",ZAR,"1,879,282.31",0.05
CAPITEC BANK HOLDINGS,"31,285","12,366","3,760","39,891",ZAR,"5,098,349.83",0.13
CLICKS GROUP,"116,195",0,0,"116,195",ZAR,"2,297,181.01",0.06
DISCOVERY,"204,830","35,094","38,945","200,979",ZAR,"1,807,929.54",0.05
FIRSTRAND,"2,296,943","307,780","188,657","2,416,066",ZAR,"9,204,061.11",0.24
GOLD FIELDS,"436,370","32,431","35,911","432,890",ZAR,"4,723,274.81",0.12
GROWTHPOINT PROPERTIES,"1,490,945","367,560",0,"1,858,505",ZAR,"1,789,800.90",0.05
HARMONY GOLD MINING,"235,408",0,0,"235,408",ZAR,"982,341.67",0.03
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
BEIJING YUANLIU HONGY. 'A',0,"12,800",0,"12,800",CNY,"360,379.41 0.01"
BEIJING-SHANGHAI HIGH SPEED 'A',"389,900","800,600",0,"1,190,500",CNY,"902,209.23 0.02"
BETTA PHARMACEUTICALS 'A',"10,500",0,0,"10,500",CNY,"131,518.29 0.00"
BGI GENOMICS 'A',"11,500",0,0,"11,500",CNY,"158,424.77 0.00"
BJ UNITED INFORMATION T.'A',0,"18,400",0,"18,400",CNY,"310,353.77 0.01"
BOE TECHNOLOGY 'A',"1,070,100",0,0,"1,070,100",CNY,"847,903.60 0.02"
BYD COMPANY 'A',"53,900","7,600","9,400","52,100",CNY,"2,191,783.58 0.06"
BYD 'H',"314,000","89,500","21,000","382,500",HKD,"13,079,909.80 0.34"
BY-HEALTH CO 'A',"45,700",0,0,"45,700",CNY,"193,315.57 0.01"
CAITONG SECURITIES 'A',"74,100",0,0,"74,100",CNY,"129,286.66 0.00"
CANSINO BIOLOGICS 'A',0,"4,000",0,"4,000",CNY,"188,000.95 0.00"
CANSINO BIOLOGIGS 'H',"31,200","15,200",0,"46,400",HKD,"1,072,471.92 0.03"
CECEP SOLAR ENERGY 'A',0,"415,666",0,"415,666",CNY,"730,454.65 0.02"
CECEP WIND-POWER 'A',0,"674,400",0,"674,400",CNY,"688,857.33 0.02"
CENTRE TESTING INTL GROUP 'A',"50,800",0,"50,800",0,CNY,0.00 0.00
CGN POWER 'H',"5,948,000","2,601,000","1,475,000","7,074,000",HKD,"2,150,436.22 0.06"
CHANGCHUN HIGH&NEW TECH. INDUS. 'A',"12,600",0,0,"12,600",CNY,"536,551.14 0.01"
CHANGJIANG SECURITIES 'A',"112,400",0,0,"112,400",CNY,"132,974.51 0.00"
CHANGZHOU XINGYU AUTOM LIGH SYS 'A',"8,000",0,0,"8,000",CNY,"256,379.20 0.01"
CHAOZHOU THREE-CIRCLE 'A',"40,500",0,0,"40,500",CNY,"283,413.56 0.01"
CHENGDU KANGHONG PHARMACEUTICAL 'A',"20,300",0,"20,300",0,CNY,0.00 0.00
CHINA BAOAN GROUP 'A',0,"83,000",0,"83,000",CNY,"187,920.93 0.00"
CHINA BOHAI BANK 'H',"989,000",0,0,"989,000",HKD,"380,566.64 0.01"
CHINA CINDA ASSET MANAGEMENT 'H',"5,038,000","2,100,000","1,711,000","5,427,000",HKD,"988,465.08 0.03"
CHINA CITIC BANK 'H',"3,946,000",0,0,"3,946,000",HKD,"1,710,751.56 0.04"
CHINA COAL ENERGY CO LTD 'H',0,"2,019,000","2,019,000",0,HKD,0.00 0.00
CHINA COMM. CONSTRUCTION 'A',"81,000",0,"81,000",0,CNY,0.00 0.00
CHINA COMMUNICATIONS CONSTRUC.'H',"2,506,000",0,"2,506,000",0,HKD,0.00 0.00
CHINA COMMUNICATIONS SERVICE 'H',"1,585,200",0,"714,000","871,200",HKD,"424,633.87 0.01"
CHINA CONSTRUCTION BANK 'A',"345,100",0,0,"345,100",CNY,"317,302.37 0.01"
CHINA CONSTRUCTION BANK 'H',"46,377,090","5,101,000","5,281,000","46,197,090",HKD,"31,997,904.96 0.84"
CHINA CSSC HOLDINGS 'A',0,"127,500",0,"127,500",CNY,"495,926.65 0.01"
CHINA EASTERN AIRLINES 'A',"291,400",0,0,"291,400",CNY,"235,922.84 0.01"
CHINA EVERBRIGHT BANK 'A',"1,123,300",0,0,"1,123,300",CNY,"585,146.46 0.02"
CHINA EVERBRIGHT BANK 'H',"1,648,000",0,0,"1,648,000",HKD,"583,417.50 0.02"
CHINA FILM 'A',"51,300",0,"51,300",0,CNY,0.00 0.00
CHINA FORTUNE LAND DEVELOPMENT 'A',"105,040",0,"105,040",0,CNY,0.00 0.00
CHINA GALAXY SECS 'H',"1,952,500",0,"503,500","1,449,000",HKD,"832,644.40 0.02"
CHINA GALAXY SECURITIES 'A',"184,300",0,0,"184,300",CNY,"323,583.34 0.01"
CHINA GEZHOUBA GROUP 'A',"115,200",0,"115,200",0,CNY,0.00 0.00
CHINA GREAT WALL SEC. 'A',0,"174,600",0,"174,600",CNY,"354,768.25 0.01"
CHINA GREATWALL 'A',"91,800",0,0,"91,800",CNY,"203,956.09 0.01"
CHINA HUARONG ASSET MANAGEMENT 'H',"5,739,000",0,0,"5,739,000",HKD,"750,843.73 0.02"
CHINA INDUSTRIAL SECURITIES CO 'A',"277,100",0,0,"277,100",CNY,"429,560.37 0.01"
CHINA INT CAPITAL CORP 'H',"680,000",0,0,"680,000",HKD,"1,875,255.89 0.05"
CHINA INTL CAPITAL 'A',0,"36,900",0,"36,900",CNY,"283,869.67 0.01"
CHINA JUSHI 'A',"75,300","10,767",0,"86,067",CNY,"245,775.61 0.01"
CHINA JUSHI 'A' -PROV-,0,"10,767","10,767",0,CNY,0.00 0.00
CHINA LIFE INSURANCE (CHINA) 'H',"3,524,000","367,000","300,000","3,591,000",HKD,"5,951,015.53 0.16"
CHINA LIFE INSURANCE 'A',"74,100",0,0,"74,100",CNY,"349,841.34 0.01"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
CHINA LONGYUAN POWER GROUP 'H',"1,868,000","169,000","226,000","1,811,000",HKD,"4,227,688.72 0.11"
CHINA MERCHANT BANK 'A',"576,463","93,200","83,600","586,063",CNY,"4,479,124.86 0.12"
CHINA MERCHANTS BANK 'H',"1,882,206","133,500","134,000","1,881,706",HKD,"14,614,335.79 0.38"
CHINA MERCHANTS ENERGY SHIPPING 'A',"523,900","2,460,960","2,984,860",0,CNY,0.00 0.00
CHINA MERCHANTS PTY OP.& SERV. 'A',"38,200",0,"38,200",0,CNY,0.00 0.00
CHINA MERCHANTS SECURITIES 'A',"214,240",0,0,"214,240",CNY,"593,302.26 0.02"
CHINA MERCHANTS SHEKOU INDU.ZONE'A',"244,600",0,0,"244,600",CNY,"511,968.24 0.01"
CHINA MINMETALS RARE EARTH 'A',0,"48,500",0,"48,500",CNY,"296,933.87 0.01"
CHINA MINSHENG BANKING 'A',"1,123,560",0,0,"1,123,560",CNY,"687,529.94 0.02"
CHINA MINSHENG BANKING 'H',"2,793,696",0,0,"2,793,696",HKD,"1,067,845.88 0.03"
CHINA MOLYBDENUM 'A',"541,700",0,0,"541,700",CNY,"474,267.94 0.01"
CHINA MOLYBDENUM CO 'H',"1,377,000",0,0,"1,377,000",HKD,"725,920.28 0.02"
CHINA NATIONAL BUILDINGS MAT. 'H',"1,778,000","312,000",0,"2,090,000",HKD,"2,562,815.51 0.07"
CHINA NATIONAL MEDICINES 'A',"28,100",0,0,"28,100",CNY,"139,014.80 0.00"
CHINA NATIONAL NUCLEAR POWER CO 'A',"435,500","713,500","438,800","710,200",CNY,"924,888.75 0.02"
CHINA NATIONAL SOFTWARE & SERV.'A',"10,100",0,"10,100",0,CNY,0.00 0.00
CHINA NATL CHEMICAL ENGINEERING 'A',"115,000",0,0,"115,000",CNY,"216,525.88 0.01"
CHINA NORTHERN RARE EARTH 'A',"71,400",0,"71,400",0,CNY,0.00 0.00
CHINA OILFIELD SERVICES 'H',"1,360,000","790,000","290,000","1,860,000",HKD,"1,629,471.66 0.04"
CHINA PACIFIC 'A',"182,200",0,0,"182,200",CNY,"775,298.23 0.02"
CHINA PACIFIC INSURANCE 'H',"1,327,000","116,000","199,400","1,243,600",HKD,"3,373,682.82 0.09"
CHINA PETROLEUM & CHEMICAL 'A',"1,310,500","3,141,800","2,119,500","2,332,800",CNY,"1,548,276.81 0.04"
CHINA PETROLEUM & CHEMICAL 'H',"12,977,400","3,532,000","3,390,000","13,119,400",HKD,"6,108,488.54 0.16"
CHINA RAILWAY CONSTR. 'H',"1,118,500",0,"1,118,500",0,HKD,0.00 0.00
CHINA RAILWAY CONSTRUCTION 'A',"411,700",0,"411,700",0,CNY,0.00 0.00
CHINA RAILWAY GROUP 'A',"598,300",0,0,"598,300",CNY,"543,535.99 0.01"
CHINA RAILWAY GROUP 'H',"1,664,000",0,0,"1,664,000",HKD,"879,353.92 0.02"
CHINA RES.SANJIU MEDICAL& PHARM.'A',"24,200",0,0,"24,200",CNY,"130,010.93 0.00"
CHINA SECURITIES 'A',"93,300",0,0,"93,300",CNY,"428,191.71 0.01"
CHINA SHIPBUILDING INDUSTRY 'A',0,"550,500","550,500",0,CNY,0.00 0.00
CHINA SOUTHERN AIRLINES 'A',"295,300",0,0,"295,300",CNY,"315,530.46 0.01"
CHINA SOUTHERN AIRLINES 'H',"978,000",0,0,"978,000",HKD,"585,826.35 0.02"
CHINA ST.CONSTRUCTION ENGIN.'A',"1,297,200",0,0,"1,297,200",CNY,"1,017,671.66 0.03"
CHINA SUNTIEN GREEN ENERGY 'H',0,"1,918,000",0,"1,918,000",HKD,"1,495,771.82 0.04"
CHINA TELECOM 'H',"6,216,000",0,"6,216,000",0,HKD,0.00 0.00
CHINA TOURISM GROUP DUTY FREE 'A',"60,300","10,300","8,400","62,200",CNY,"2,141,300.10 0.06"
CHINA TOWER 'H' 144A/S,"21,050,000",0,"2,564,000","18,486,000",HKD,"2,039,175.31 0.05"
CHINA TRANSINFO TECH. 'A',"41,000",0,0,"41,000",CNY,"96,173.58 0.00"
CHINA UNITED NETWORK COMMUNIC. 'A',"833,300","1,091,200","833,300","1,091,200",CNY,"672,864.54 0.02"
CHINA VANKE 'A',"291,600",0,0,"291,600",CNY,"904,076.53 0.02"
CHINA VANKE 'H',"827,500","147,600","96,300","878,800",HKD,"2,044,751.31 0.05"
CHINA YANGTZE POWER 'A',"685,400","114,300",0,"799,700",CNY,"2,848,286.61 0.07"
CHINA ZHENHUA SCIENCE&TECH.'A',0,"20,507",0,"20,507",CNY,"399,884.08 0.01"
CHINA ZHESHANG BANK 'A',0,"565,000",0,"565,000",CNY,"310,275.32 0.01"
CHONGQG ZHIFEI BIOLOGICAL PROD. 'A',"56,200",0,"15,000","41,200",CNY,"805,463.74 0.02"
CHONGQING BREWERY 'A',"13,900",0,0,"13,900",CNY,"330,021.22 0.01"
CHONGQING CHANGAN 'A',"82,800","33,120",0,"115,920",CNY,"276,278.37 0.01"
CHONGQING FULING ZHACAI GROUP 'A',"28,200",0,0,"28,200",CNY,"167,252.12 0.00"
CHONGQING RURAL COMMERCIAL BANK 'H',"1,383,000",0,"1,383,000",0,HKD,0.00 0.00
CITIC SECURITIES 'A',"297,134",0,0,"297,134",CNY,"1,231,264.86 0.03"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
CITIC SECURITIES 'H',"1,125,500","148,500","136,000","1,138,000",HKD,"2,970,433.54 0.08"
CN NATL ACCORD 'A',"16,200",0,"16,200",0,CNY,0.00 0.00
CONTEMPORARY AMPEREX TECHNOLOGY 'A',"68,200","7,400","6,900","68,700",CNY,"6,338,183.36 0.17"
COSCO SHIPPING ENERGY TRANSPORT.'A',"345,300","1,115,300","367,400","1,093,200",CNY,"1,015,434.85 0.03"
COSCO SHIPPING HOLDINGS 'A',"375,900","187,650","155,400","408,150",CNY,"1,196,905.43 0.03"
COSCO SHIPPING HOLDINGS 'A' -PROV-,0,"66,150","66,150",0,CNY,0.00 0.00
COSCO SHIPPING HOLDINGS 'H',"1,209,000","362,700",0,"1,571,700",HKD,"3,048,137.89 0.08"
COSCO SHIPPING HOLDINGS 'H' -PROV-,0,"362,700","362,700",0,HKD,0.00 0.00
CRRC CORPORATION 'A',"791,900","684,000","791,900","684,000",CNY,"653,588.09 0.02"
CRRC CORPORATION 'H',"2,420,200","2,226,000","2,420,200","2,226,000",HKD,"956,495.94 0.03"
DAQIN RAILWAY 'A',"468,400",0,"468,400",0,CNY,0.00 0.00
DASHENLIN PHARMA. 'A' -PROV-,0,"5,460","5,460",0,CNY,0.00 0.00
DASHENLIN PHARMACEUTICAL GROUP 'A',"27,300","5,460",0,"32,760",CNY,"216,451.14 0.01"
DAWNING INFORMATION INDUSTRY 'A',"29,820","80,800","29,820","80,800",CNY,"349,525.50 0.01"
DHC SOFTWARE 'A',"78,000",0,0,"78,000",CNY,"95,459.67 0.00"
DIDI GLOBAL -ADR-,0,"125,452",0,"125,452",USD,"624,750.96 0.02"
DO-FLUORIDE NEW MATERIALS 'A',0,"46,700",0,"46,700",CNY,"329,657.99 0.01"
DONG-E E-JIAO 'A',"20,800",0,0,"20,800",CNY,"159,099.45 0.00"
DONGFANG ELECTRIC 'A',"80,500",0,0,"80,500",CNY,"270,549.09 0.01"
DONGFENG MOTOR 'H',"1,432,000",0,"300,000","1,132,000",HKD,"940,880.78 0.02"
DONGXING SECURITIES 'A',"66,500",0,0,"66,500",CNY,"121,347.85 0.00"
EAST MONEY INFORMATION 'A',"274,800","108,040","57,100","325,740",CNY,"1,896,674.40 0.05"
ECOVACS ROBOTICS 'A',0,"13,800",0,"13,800",CNY,"326,845.82 0.01"
ENN NATURAL GAS 'A',0,"250,100",0,"250,100",CNY,"720,472.00 0.02"
EVE ENERGY 'A',"64,629","15,100","21,600","58,129",CNY,"1,077,872.95 0.03"
EVERBRIGHT SECURITIES 'A',"115,100",0,0,"115,100",CNY,"269,628.54 0.01"
FIBERHOME TELECOMM. TECHNOLOGIE 'A',"28,100",0,0,"28,100",CNY,"79,273.26 0.00"
FINANCIAL STREET HOLDING 'A',"93,100",0,"93,100",0,CNY,0.00 0.00
FIRST CAPITAL SECURITIES 'A',"94,800",0,0,"94,800",CNY,"108,880.51 0.00"
FLAT GLASS GROUP 'A',0,"42,000",0,"42,000",CNY,"381,819.86 0.01"
FLAT GLASS GRP 'H',0,"205,000",0,"205,000",HKD,"1,041,267.26 0.03"
FOCUS MEDIA INFORMATION TECHNO. 'A',"436,000",0,0,"436,000",CNY,"560,274.85 0.01"
FONGDA CARBON NEW MATERIAL 'A',"123,491",0,0,"123,491",CNY,"209,649.25 0.01"
FOSHAN HAITIAN FLAV.& FOOD CO 'A',"82,437","21,370","11,200","92,607",CNY,"1,527,279.73 0.04"
FOUNDER SECURITIES 'A',"248,900",0,0,"248,900",CNY,"306,176.39 0.01"
FOXCONN INDUSTRIAL INTERNET 'A',"121,700",0,0,"121,700",CNY,"227,613.27 0.01"
FU JIAN ANJOY FOODS 'A',0,"12,100","9,000","3,100",CNY,"83,067.17 0.00"
FUJIAN SUNNER DEVELOPMENT 'A',"28,900",0,0,"28,900",CNY,"109,598.66 0.00"
FUYAO GLASS IND. GROUPP 'H',"277,200","55,600","49,200","283,600",HKD,"1,465,967.82 0.04"
FUYAO GLASS INDUSTRY 'A',"83,300",0,"37,600","45,700",CNY,"338,015.42 0.01"
GANFENG LITHIUM 'A',"27,400",0,0,"27,400",CNY,"614,131.74 0.02"
G-BITS NETWORK TECHNOLOGY 'A',"2,300",0,0,"2,300",CNY,"152,235.74 0.00"
GCL SYSTEM INTEGRATION TECHNO. 'A',"218,000",0,0,"218,000",CNY,"129,978.29 0.00"
GD POWER DEVEVLOPMENT 'A',0,"881,700","881,700",0,CNY,0.00 0.00
GEM 'A',"165,100",0,0,"165,100",CNY,"268,113.18 0.01"
GEMDALE 'A',"117,600",0,0,"117,600",CNY,"239,319.47 0.01"
GF SECURITIES 'A',"209,600",0,0,"209,600",CNY,"808,687.15 0.02"
GF SECURITIES 'H',"511,200",0,0,"511,200",HKD,"974,367.57 0.03"
GIANT NETWORK GROUP 'A',"40,300",0,0,"40,300",CNY,"75,688.51 0.00"
GIGADEVICE SEMICONDUCTOR 'A',"12,320","4,928",0,"17,248",CNY,"475,895.78 0.01"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
GIGADEVICE SEMICONDUCTOR 'A' -PROV-,0,"4,928","4,928",0,CNY,0.00 0.00
GINLONG TECHNOLOGIES 'A',0,"9,500",0,"9,500",CNY,"345,143.05 0.01"
GLODON 'A',"20,500",0,"20,500",0,CNY,0.00 0.00
GOERTEK 'A',"78,600","40,100",0,"118,700",CNY,"1,007,578.10 0.03"
GOTION HIGH 'A',"75,900","35,100","58,600","52,400",CNY,"421,362.51 0.01"
GREAT WALL MOTOR 'A',"83,000",0,"33,000","50,000",CNY,"380,803.13 0.01"
GREAT WALL MOTOR 'H',"1,403,750","168,500","111,000","1,461,250",HKD,"5,023,107.62 0.13"
GREELAND HOLDINGS 'A',"237,000","11,850",0,"248,850",CNY,"169,456.45 0.00"
GRG BANKING EQUIPMENT 'A',"84,900",0,0,"84,900",CNY,"158,520.48 0.00"
GUANGDONG HAID GROUP 'A',"45,200",0,0,"45,200",CNY,"519,844.13 0.01"
GUANGDONG HEC TECHNOLOGY HLDG 'A',"79,800",0,"79,800",0,CNY,0.00 0.00
GUANGDONG KINLONG HARDW.PROD.'A',"18,600",0,"12,600","6,000",CNY,"170,951.89 0.00"
GUANGHUI ENERGY 'A',"1,017,700","1,555,600","1,633,400","939,900",CNY,"964,473.13 0.03"
GUANGZ.SHIYUAN ELECTRONIC TECH. 'A',"29,900",0,"16,000","13,900",CNY,"177,529.26 0.00"
GUANGZHOU AUTOMOBILE 'H',"1,294,678",0,0,"1,294,678",HKD,"1,277,030.51 0.03"
GUANGZHOU BAIYUN INTL AIRPORT 'A',"42,200",0,"42,200",0,CNY,0.00 0.00
GUANGZHOU BAIYUNSHAN PHARMA. 'A',"9,100","68,200",0,"77,300",CNY,"414,797.70 0.01"
GUANGZHOU KINGMED DIAGNOSTICS 'A',"13,400",0,0,"13,400",CNY,"234,155.17 0.01"
GUANGZHOU R&F PROPERTIES 'H',"852,800",0,0,"852,800",HKD,"317,218.39 0.01"
GUANGZHOU TINCI MAT. TECH. 'A',"27,900","26,470","20,800","33,570",CNY,"603,887.63 0.02"
GUANZHOU HAIGE COMMUNICATIONS 'A',"71,000",0,0,"71,000",CNY,"121,649.89 0.00"
GUOSEN SECURITIES 'A',"149,500",0,0,"149,500",CNY,"269,286.03 0.01"
GUOTAI JUNAN SECURITIES 'A',"258,656",0,0,"258,656",CNY,"726,045.16 0.02"
GUOYUAN SECURITIES 'A',"111,399",0,0,"111,399",CNY,"134,586.89 0.00"
HAIER SMART HOME 'A',"180,900",0,0,"180,900",CNY,"848,389.37 0.02"
HAIER SMART HOME 'H',"976,000","177,800","83,800","1,070,000",HKD,"4,522,227.03 0.12"
HAITONG SECURITIES 'A',"243,700",0,0,"243,700",CNY,"468,788.27 0.01"
HAITONG SECURITIES 'H',"1,146,800",0,0,"1,146,800",HKD,"1,016,433.33 0.03"
HANGZHOU FIRST APPLIED MATERIAL 'A',"32,600","26,080","38,900","19,780",CNY,"405,166.84 0.01"
HANGZHOU GREAT STAR IND. 'A',0,"67,300",0,"67,300",CNY,"322,172.16 0.01"
HANGZHOU HIKVISION DIGITAL TECH.'A',"283,200",0,"283,200",0,CNY,0.00 0.00
HANGZHOU ROBAM APPL. 'A',"23,200",0,0,"23,200",CNY,"131,118.03 0.00"
HANGZHOU SILAN MICROELECTRONICS 'A',"46,200",0,0,"46,200",CNY,"392,890.93 0.01"
HANGZHOU TIGERMED CONSULTING 'A',"6,100",0,0,"6,100",CNY,"122,318.30 0.00"
HANGZHOU TIGERMED CONSULTING 'H',"60,000",0,0,"60,000",HKD,"761,902.87 0.02"
HBIS COMPANY 'A',"285,300",0,0,"285,300",CNY,"110,120.36 0.00"
HEBEI CONSTRUCTION GROUP 'H' S,"234,000",0,"234,000",0,HKD,0.00 0.00
HEFEI MEYER OPTOELECTRONIC 'A',"18,900",0,0,"18,900",CNY,"111,086.25 0.00"
HEILONGJIANG AGRICULTURE 'A',"75,500",0,0,"75,500",CNY,"172,480.13 0.00"
HENAN SHUANGHUI INVEST.& DEVEL. 'A',"87,572",0,0,"87,572",CNY,"433,506.25 0.01"
HENGLI PETROCHEMICAL 'A',"211,500",0,"54,800","156,700",CNY,"564,755.84 0.01"
HENGTONG OPTIC ELECTRIC 'A',"45,500","136,100","45,500","136,100",CNY,"322,879.63 0.01"
HENGYI PETROCHEMICAL 'A',"70,720",0,0,"70,720",CNY,"117,841.29 0.00"
HITHINK ROYALFLUSH 'A',"12,700",0,0,"12,700",CNY,"288,099.61 0.01"
HONGFA TECHNOGY 'A',"23,600",0,0,"23,600",CNY,"276,384.94 0.01"
HOSHINE SILICON INDUSTRY 'A',0,"14,700",0,"14,700",CNY,"304,385.03 0.01"
HUA XIA BANK 'A',"315,500",0,0,"315,500",CNY,"277,215.89 0.01"
HUAAN SECURITIES 'A',"118,500","35,550","154,050",0,CNY,0.00 0.00
HUADIAN POWER INTERNATIONAL 'A',"193,600",0,"193,600",0,CNY,0.00 0.00
HUADONG MEDICINE 'A',"36,960",0,0,"36,960",CNY,"233,124.95 0.01"
HUAFON CHEMICAL 'A',0,"170,400",0,"170,400",CNY,"279,126.34 0.01"
"",31.12.2020 /,Käufe,Verkäufe,31.12.2021 /,Währung,Marktwert fortune totale du
"",Gesamtsumme,,,Gesamtsumme,,(en / in USD) compartiment /
"",zum 31.12.2020,,,zum 31.12.2021,,% des Vermögens
"",,,,,,des Teilvermögens
HUALAN BIOLOGICAL ENGINEERING 'A',"52,260",0,0,"52,260",CNY,"238,940.46 0.01"
HUATAI SECURITIES 'A',"249,400",0,0,"249,400",CNY,"694,976.54 0.02"
HUATAI SECURITIES 'H',"760,600",0,0,"760,600",HKD,"1,266,322.08 0.03"
HUAXI SECURITIES 'A',"75,300",0,0,"75,300",CNY,"116,375.60 0.00"
HUAXIN CEMENT 'A',"34,600",0,0,"34,600",CNY,"104,776.56 0.00"
HUAYU AUTOMOTIVE SYSTEMS 'A',"103,800",0,0,"103,800",CNY,"460,908.30 0.01"
HUBEI BIOCAUSE PHARMACEUTICAL 'A',"185,000",0,"185,000",0,CNY,0.00 0.00
HUBEI JUMPCAN PHARMACEUTICAL 'A',"30,900",0,"30,900",0,CNY,0.00 0.00
HUBEI XINGFA CHEMICALS GROUP 'A',0,"57,500",0,"57,500",CNY,"341,750.02 0.01"
HUIZHOU DESAY 'A',0,"21,600",0,"21,600",CNY,"479,591.66 0.01"
HUMANWELL HEALTHCARE 'A',0,"72,600",0,"72,600",CNY,"256,528.57 0.01"
HUNAN VALIN STEEL 'A',"157,000",0,0,"157,000",CNY,"125,878.42 0.00"
HUNDSUN TECHNOLOGIES 'A',"41,860","79,964","61,700","60,124",CNY,"586,299.78 0.02"
IFLYTEK 'A',"56,550",0,0,"56,550",CNY,"465,913.57 0.01"
IMEIK TECHNOLOGY DEVELOPMENT 'A',0,"7,756",0,"7,756",CNY,"652,412.76 0.02"
INDUST. & COMMER. BANK OF CHINA 'A',"1,663,100","485,800","420,400","1,728,500",CNY,"1,255,686.17 0.03"
INDUSTRIAL AND COMM. BK CHINA 'H',"29,049,345","3,672,000","5,465,000","27,256,345",HKD,"15,382,731.47 0.40"
INDUSTRIAL BANK 'A',"659,100",0,"96,700","562,400",CNY,"1,680,130.41 0.04"
INGENIC SEMICONDUCTOR 'A',"23,900","16,300","18,200","22,000",CNY,"462,549.50 0.01"
INNER MONGOLIA BAOTOU STEEL UN. 'A',"1,369,300",0,"1,369,300",0,CNY,0.00 0.00
INNER MONGOLIA JUNZHENG ENERGY 'A',"238,100",0,0,"238,100",CNY,"195,385.27 0.01"
INNER MONGOLIA YI LI INDUSTRY 'A',"180,600",0,0,"180,600",CNY,"1,174,837.44 0.03"
INSPUR ELECTRONIC INFO. IND.'A',"53,312",0,0,"53,312",CNY,"299,710.89 0.01"
INTCO MEDICAL TECHNOLOGY 'A',0,"17,400",0,"17,400",CNY,"157,909.50 0.00"
JA SOLAR TECHNOLOGY 'A',"68,900","33,200","55,200","46,900",CNY,"682,155.39 0.02"
JAFRON BIOMED 'A',"17,100",0,0,"17,100",CNY,"143,005.93 0.00"
JASON FURNITURE (HANGZHOU) 'A',"29,600",0,0,"29,600",CNY,"358,355.99 0.01"
JCET GROUP CO LTD 'A',0,"54,300",0,"54,300",CNY,"264,284.91 0.01"
JIANGSU CHANGSHU RURAL COMM.BK 'A',"85,800",0,"85,800",0,CNY,0.00 0.00
JIANGSU EASTERN SHENGHONG 'A',0,"142,700","80,300","62,400",CNY,"189,352.83 0.00"
JIANGSU EXPRESSWAY 'H',"712,000",0,"302,000","410,000",HKD,"420,188.15 0.01"
JIANGSU HENGLI HYDRAULIC 'A',"46,472",0,0,"46,472",CNY,"596,451.87 0.02"
JIANGSU HENGRUI PHARMA. 'A',"161,856","28,171","21,000","169,027",CNY,"1,344,870.38 0.04"
JIANGSU HENGRUI PHARMA. 'A' -PROV-,0,"28,171","28,171",0,CNY,0.00 0.00
JIANGSU KING'S LUCK BREWERY 'A',"47,800",0,0,"47,800",CNY,"407,997.53 0.01"
JIANGSU YANGHE BREWERY 'A',"45,200",0,0,"45,200",CNY,"1,168,266.35 0.03"
JIANGSU YANGNON CHEMICAL 'A',"12,300",0,0,"12,300",CNY,"253,203.49 0.01"
JIANGSU YOKE TECHNOLOGY 'A',0,"28,900",0,"28,900",CNY,"368,064.66 0.01"
JIANGSU YUYUE MEDICAL EQUIP.& S 'A',"34,300",0,0,"34,300",CNY,"203,430.78 0.01"
JIANGSU ZHONGNAN CONSTR.GROUP 'A',"88,500",0,"88,500",0,CNY,0.00 0.00
JIANGSU ZHONGTIAN TECHNOLOGY 'A',"86,700",0,0,"86,700",CNY,"230,714.92 0.01"
JIANGXI COPPER 'A',"50,900",0,0,"50,900",CNY,"178,335.27 0.00"
JIANGXI COPPER 'H',"639,000",0,"200,000","439,000",HKD,"702,736.11 0.02"
JIANGXI GANFENG LITHIUM 'H' 144A/S,0,"122,400",0,"122,400",HKD,"1,926,367.51 0.05"
JIANGXI ZHENGBANG TECHNOLOGY 'A',"94,000",0,0,"94,000",CNY,"142,474.03 0.00"
JILIN AODONG PHARMACEUTICAL GR. 'A',"45,600",0,"45,600",0,CNY,0.00 0.00
JINKE PROPERTIES GROUP 'A',"108,100",0,0,"108,100",CNY,"75,986.15 0.00"
